id,title,topic,module,body,managerial_phrasing,common_mistake,status,updated
course-thesis,Why this course exists: verification is the job,Course frame,course-frame,"- LLMs write analytics code faster than you ever will. What they don't do is guarantee the number is right.
- Agent output is fluent, plausible, and wrong in ways only a capable reader catches — like proofreading a translation into a language you can't read.
- The defensible skills: verification, specification, code literacy, and accountability for the number.
- You graduate able to sign the number: to say ""this figure is right, and here is why,"" with your name on it.",The agent produces the draft; you produce the guarantee. The person who can certify the number is the one the firm can't replace.,Treating the course as 'learn to code.' It's 'learn to read and audit code' — writing is the agent's job; catching what's wrong is yours.,core,8/23/26
four-a-cycle,"The analytics cycle: Ask, Acquire, Analyze, Answer",Course frame,course-frame,"- Every real analysis runs the same four stages: Ask (frame a question the data can answer), Acquire (get and clean the data), Analyze (compute and model), Answer (a memo a decision-maker can act on).
- The course runs the cycle twice: cycle 1 guided on Eastville housing (inference), cycle 2 open on loan default (prediction), with your own team question.
- Topics exist only because a stage demands them. If you're lost, locate yourself in the cycle first.","Before touching data, name where you are: what's the question, what data answers it, what did we compute, what do we tell the decision-maker.",Jumping to Analyze with an unframed question — the most expensive errors are made before any code runs.,core,8/23/26
understand-vs-recipe,Two tiers: Understand vs Recipe 🔧,Course frame,course-frame,"- Understand tier: few things, examinable, reinforced with multiple business examples. You must be able to read, predict, and explain this code.
- Recipe tier (🔧): use it, trust it, don't dissect it. Examples: the read_csv encoding argument, the smf.ols incantation, sklearn's fit/predict.
- You are never expected to understand every character of a recipe cell. Knowing which tier a line belongs to is itself a skill.",Distinguish what you must be able to defend from what you correctly use as a trusted tool — and say which is which.,"Two symmetric failures: panicking over recipe syntax you were never meant to internalize, or treating Understand-tier material as copy-paste boilerplate.",core,8/23/26
ai-modes,"AI norms are per-beat: forbidden, assistant, adversary, auditee",Course frame,course-frame,"- Forbidden: screens down, your own reading (e.g., Read & Predict beats, exams).
- Assistant: allowed with disclosure plus one checking sentence stating how you verified the output.
- Adversary: the AI produces an analysis you must attack.
- Auditee: the AI's work is the object under audit.
- Disclosure is never penalized. Undisclosed use is the violation, not use.","State the tool's role before using it: was the AI drafting for me, checking me, or being checked by me?","Assuming one blanket rule for the whole course. The mode changes beat by beat, and the disclosure-plus-check sentence is mandatory in assistant mode.",core,8/23/26
sign-the-number,Signing the number,Course frame,answer,"- The end state of every analysis: which figures would you put your name on, with what caveat, and which would you refuse?
- Signing requires tracing each flaw's blast radius: a duplicate-row problem upstream infects every average downstream.
- Three honest verdicts exist: sign it · sign it with a stated caveat · don't sign it. ""Looks right"" is not a verdict.",For each headline number: I stand behind this / I stand behind this given X / I cannot certify this — one sentence each.,Flagging every number to be safe. False alarms cost credibility just as missed flaws do; the exams penalize both.,core,8/23/26
business-question-first,Anatomy of an answerable question,Ask,ask,"A question the data can answer has three properties:
- A defined outcome: the thing measured is stated precisely enough that two people would compute the same number.
- Matching grain: the level of the rows (one row = one house, one loan) matches the level of the question.
- An attached decision: someone will do something differently depending on the answer.
Questions failing these die at Ask or Acquire — before any analysis could save them.","State the outcome, the unit, and the decision in one sentence: 'For [decision], we need [measure] per [unit].'",Starting from the dataset ('what can we do with these columns?') instead of the decision — dataset-first drift produces answers nobody asked for.,core,8/23/26
kill-test,The kill test,Ask,ask,"- Before investing in a question, try to kill it: What outcome exactly? At what grain? Could any dataset answer it? Would the answer change a decision?
- A question that survives the kill test is worth acquiring data for; one that dies saved you weeks.
- Introduced stripped-down in cycle 1; the full version governs your cycle-2 brief.","Attack your own question before your data does: if we had a perfect dataset, what number would settle this — and can we define that number?",Treating the kill test as a formality to pass rather than an honest attempt to break the question — soft attacks let doomed questions through.,core,8/23/26
dz-undefined-outcome,Disease: undefined outcome,Framing,ask,"- The question names no measurable outcome, or one so vague that different analysts would compute different numbers ('is the market healthy?', 'which loans are good?').
- Everything downstream inherits the ambiguity: the analysis computes something, and the memo pretends it was the thing asked.
- Headline trap of the Framing topic. Cure: define the outcome as a column you could point to, or a formula over columns.","Before we pull data: what exact number, computed how, on what unit, would answer this?","Believing the outcome is 'obvious.' If it isn't written as something computable, two teammates are silently answering different questions.",core,8/23/26
dz-dataset-first-drift,Disease: dataset-first drift,Framing,ask,"- The team starts from available data and drifts toward whatever question the columns make easy, rather than the question the decision needs.
- Symptom: the brief's question mutates to match the dataset between scoping and delivery, without anyone deciding that.
- Secondary trap of the Framing topic.","Are we answering the question we were asked, or the question this file happens to make convenient?","Rationalizing drift as pragmatism. Adapting to data constraints is fine only when the change is named, justified, and accepted by the decision-maker.",core,8/23/26
dz-wrong-grain,Disease: wrong grain,Framing,ask,"- The rows are at the wrong level for the question: school-level averages can't answer a listing-level question; borrower-level data can't answer a payment-level question.
- The Eastville version is stark: two school zones means a 'school averages' one-pager has two rows — self-evidently unable to price one house.
- Aggregated data destroys within-group variation; no later step recovers it. Cure: restate the question's unit, then check what one row represents.","One row of this table is a ___. Our question is about a ___. If those don't match, this data can't answer it.",Assuming averages of averages are harmless. Group-level summaries silently weight and blur exactly the differences the question is about.,core,8/23/26
