home_id,neighborhood,sqft,bedrooms,year_built,price
1,Riverview,2064,2,1963,375648
2,Oldtown,2010,2,1980,300696
3,Northside,1189,1,1992,252959
4,Riverview,1364,1,1969,204600
5,Oldtown,1645,2,,251882
6,Northside,1139,1,1994,193857
7,Riverview,3021,3,2011,504507
8,Oldtown,1560,2,1962,229257
9,Northside,2081,1,1992,387690
10,Riverview,1486,2,1981,271938
11,Oldtown,2409,2,1987,339187
12,Northside,1176,1,2004,201507
13,Riverview,2268,2,2017,360612
14,Oldtown,1166,1,1958,176485
15,Northside,1523,2,2008,246954
16,Riverview,1013,1,1962,149924
17,Oldtown,2613,4,2007,1719980
18,Northside,1651,2,1955,309479
19,Riverview,1315,2,2011,199880
20,Oldtown,1506,2,2011,234574
21,Northside,2722,2,1999,494587
22,Riverview,2229,4,,318747
23,Oldtown,1839,1,2016,237893
24,Northside,2174,4,1964,400015
25,Riverview,2757,4,1971,391494
26,Oldtown,1094,1,1991,145370
27,Northside,2344,2,1968,409731
28,Riverview,2360,4,1977,427160
29,Oldtown,1797,3,1985,221390
30,Northside,2285,4,1975,378395
31,Riverview,2729,4,1974,469388
32,Oldtown,1492,2,1993,203508
33,Northside,2163,4,2010,407941
34,Riverview,2751,3,1999,478674
35,Oldtown,2111,2,1995,343670
36,Northside,2783,3,1985,601684
37,Riverview,1314,2,2001,247032
38,Oldtown,2374,3,1996,327991
39,Northside,1704,1,1995,295899
40,Riverview,2658,3,1993,462492
41,Oldtown,1093,2,,170245
42,Northside,3137,5,2017,598853
43,Riverview,1707,2,1955,308967
44,Oldtown,1876,2,1963,264140
45,Northside,1040,1,1988,190163
46,Riverview,2809,3,1967,500002
47,Oldtown,1370,2,1968,172400
48,Northside,905,2,1980,168601
49,Riverview,1384,2,1995,233896
50,Oldtown,2093,2,1969,326005
51,Northside,1344,2,2009,244204
52,Riverview,3116,3,1975,523488
53,Oldtown,2041,1,1961,1142304
54,Northside,2255,4,1957,453818
55,Riverview,1531,1,1974,283235
56,Oldtown,2611,4,1998,392903
57,Northside,2265,3,1971,395921
58,Riverview,1382,3,1998,196244
59,Oldtown,3096,3,2017,495855
60,Northside,1778,1,2006,351688
61,Riverview,2655,4,1960,493830
62,Oldtown,1822,2,1998,238900
63,Northside,1948,1,1989,362912
64,Riverview,2951,4,1996,531180
65,Oldtown,2079,2,2016,263450
66,Northside,3036,4,1968,659874
67,Riverview,2355,2,1990,409770
68,Oldtown,3072,3,,508231
69,Northside,2393,2,2014,399032
70,Riverview,1759,3,1990,253296
71,Oldtown,2624,3,1975,434114
72,Northside,1403,2,1962,290421
73,Riverview,2522,4,1988,365690
74,Oldtown,3017,5,1983,379659
75,Northside,1438,2,1967,261284
76,Riverview,2528,3,1978,429760
77,Oldtown,1687,1,,227137
78,Northside,2472,2,2011,494647
79,Riverview,1729,2,1965,273182
80,Oldtown,2813,3,,356463
81,Northside,2293,2,2018,437733
82,Riverview,1102,1,2004,198360
83,Oldtown,2433,3,2016,329720
84,Northside,1478,2,,277051
85,Riverview,2685,2,1986,434970
86,Oldtown,2696,3,1999,393831
87,Northside,2171,2,2011,466873
88,Riverview,3151,5,1997,529368
89,Oldtown,2860,3,,473158
90,Northside,1828,1,1992,313227
